WH_answer,WH_time,XQ_answer,XQ_time
1,7,1,6
1,16,1,4
1,6,1,6
1,10,1,9
1,20,1,5
1,12,1,7
1,8,1,5
1,17,1,4
1,14,1,7
0,22,1,7
0,10,0,5
1,17,1,10
0,13,1,24
1,15,1,9
1,12,1,9
1,8,1,6
1,24,1,9
1,9,1,6
1,13,1,4
1,19,1,7
1,6,1,4
0,14,1,3
1,3,1,4
1,10,1,9
1,6,1,2
1,5,1,20
1,8,1,4
1,5,1,6
0,16,1,5
1,6,1,13
0,7,0,5
1,6,1,5
1,5,1,6
1,7,1,6
1,9,1,9
1,12,0,6
1,10,0,5
0,7,0,10
1,9,1,10
1,14,1,7
1,6,1,7
1,5,1,3
1,6,1,5
1,11,1,6
1,12,1,5
1,28,1,18
0,15,0,5
1,3,0,7
1,10,0,10
1,8,1,14
1,7,1,7
1,10,1,11
1,15,1,7
1,5,1,5
0,12,1,4
1,10,0,24
1,10,1,9
0,6,0,3
0,28,1,6
1,5,1,13
0,4,1,9
1,19,1,7
0,10,1,5
1,8,1,7
1,10,0,5
1,13,1,5
1,7,1,8
1,8,1,5
1,12,1,11
0,11,1,6
1,21,1,10
1,6,1,5
1,5,0,5
1,6,1,8
1,9,1,8
1,5,1,7
1,6,1,9
1,13,1,5
1,13,0,5
1,5,0,10
1,8,1,10
0,9,0,10
1,6,1,6
0,12,0,7
1,12,1,3
0,13,1,9
0,9,1,7
1,4,0,10
1,7,1,3
1,6,1,4
1,8,1,2
1,6,1,3
1,7,1,6
1,7,1,6
1,10,1,8
1,16,1,7
1,12,1,7
1,6,1,3
1,7,1,10
